[0.000000] (-) TimerEvent: {}
[0.000342] (-) JobUnselected: {'identifier': 'SimpleLocalizer'}
[0.000553] (-) JobUnselected: {'identifier': 'Sprint3'}
[0.000592] (-) JobUnselected: {'identifier': 'dynamixel_sdk'}
[0.000623] (-) JobUnselected: {'identifier': 'dynamixel_sdk_custom_interfaces'}
[0.000652] (-) JobUnselected: {'identifier': 'dynamixel_sdk_examples'}
[0.000682] (-) JobUnselected: {'identifier': 'localization_error_calculator'}
[0.000725] (-) JobUnselected: {'identifier': 'robotics_studio_1'}
[0.000754] (-) JobUnselected: {'identifier': 'scan_sub_pub'}
[0.000784] (-) JobUnselected: {'identifier': 'turtlebot3'}
[0.000812] (-) JobUnselected: {'identifier': 'turtlebot3_bringup'}
[0.000841] (-) JobUnselected: {'identifier': 'turtlebot3_cartographer'}
[0.000870] (-) JobUnselected: {'identifier': 'turtlebot3_description'}
[0.000899] (-) JobUnselected: {'identifier': 'turtlebot3_example'}
[0.000927] (-) JobUnselected: {'identifier': 'turtlebot3_fake_node'}
[0.000955] (-) JobUnselected: {'identifier': 'turtlebot3_gazebo'}
[0.000983] (-) JobUnselected: {'identifier': 'turtlebot3_msgs'}
[0.001012] (-) JobUnselected: {'identifier': 'turtlebot3_navigation2'}
[0.001040] (-) JobUnselected: {'identifier': 'turtlebot3_node'}
[0.001068] (-) JobUnselected: {'identifier': 'turtlebot3_simulations'}
[0.001098] (-) JobUnselected: {'identifier': 'turtlebot3_teleop'}
[0.001126] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.001171] (-) EventReactorShutdown: {}
